# Time(s)  Normalized_Flux
17260.000000 0.994497
17270.000000 0.992253
17280.000000 0.976166
17290.000000 0.994652
17300.000000 0.982176
17310.000000 0.983055
17320.000000 0.982250
17330.000000 0.979431
17340.000000 0.934203
17350.000000 0.998395
17360.000000 0.971403
17370.000000 0.970081
17380.000000 0.952106
17390.000000 0.966635
17400.000000 0.956655
17410.000000 0.938708
17420.000000 0.950623
17430.000000 0.985854
17440.000000 0.976698
17450.000000 0.970483
17460.000000 0.941465
17470.000000 0.980680
17480.000000 0.984754
17490.000000 0.970248
17500.000000 0.975189
17510.000000 0.976037
17520.000000 0.979267
17530.000000 0.984315
17540.000000 0.977642
17550.000000 0.996454
17560.000000 0.977684
17570.000000 0.985432
17580.000000 0.989008
